"","Feature","CompGroup.C.","BaseGroup.B.","NumSamplesInC","NumSamplesInB","SignedFC","Tstatistic","Parameter","Pvalue","X95.Conf.Int.1","X95.Conf.Int.2","MeanC","MeanB","NullValue.DifferenceInMeans","Alternative","Method","FDR"
"1","10q25.1","VascInv-YES","VascInv-NO",44,34,4.99363368764276,2.93251005856658,59.6714637079985,0.00476264844676433,0.0417163747493682,0.220806299734589,0.164128982977273,0.0328676457352941,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"2","12q15","VascInv-YES","VascInv-NO",44,34,Inf,2.79289100231416,43,0.00776694576854783,0.0179731123165183,0.111367318183482,0.06467021525,0,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"3","10q26.2","VascInv-YES","VascInv-NO",44,34,4.1376632229453,2.73830611200613,66.0729793919941,0.00792890808353477,0.0291273602942644,0.185921095705736,0.1417931155,0.0342688875,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"4","10q26.13","VascInv-YES","VascInv-NO",44,34,4.59060631162888,2.56466118565947,58.4050441628632,0.012919407470885,0.0270228213638058,0.219069346136194,0.15731497125,0.0342688875,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"5","10q22.3","VascInv-YES","VascInv-NO",44,34,4.35170715312877,2.55563557339291,60.4836777880657,0.013129994093711,0.0257173397096874,0.210842266135232,0.153569223363636,0.0352894204411765,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"6","10q26.3","VascInv-YES","VascInv-NO",44,34,3.68483576410193,2.50968398726425,62.8464618310682,0.0146728624017503,0.0228232075468264,0.201252193041409,0.1537675155,0.0417298152058823,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"7","12q14.3","VascInv-YES","VascInv-NO",44,34,Inf,2.52723245889696,43,0.0152545748624789,0.0130411939940436,0.116069598505956,0.06455539625,0,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"8","12q21.1","VascInv-YES","VascInv-NO",44,34,Inf,2.52102759545198,43,0.0154900957005548,0.0129920322848271,0.116894833306082,0.0649434327954545,0,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"9","1p35.2","VascInv-YES","VascInv-NO",44,34,9.57156460749456,2.47279416002567,50.6179441709248,0.0168065014505389,0.0176487331938704,0.170121071367627,0.104837967045455,0.0109530647647059,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"10","10q22.1","VascInv-YES","VascInv-NO",44,34,3.63827280466645,2.42653252660043,62.040982174654,0.0181630425816811,0.0199980373149007,0.206977323134297,0.156503580636364,0.0430159004117647,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"11","21q21.3","VascInv-YES","VascInv-NO",44,34,5.63944744730913,2.41774166718613,57.2911150755459,0.0188202243833383,0.0193376965521716,0.205711282696491,0.136778345477273,0.0242538558529412,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"12","10q23.31","VascInv-YES","VascInv-NO",44,34,3.96726895625773,2.40966581433337,63.4673058064842,0.0188781915035486,0.0166593468849342,0.178394942826296,0.130394790590909,0.0328676457352941,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"13","12p11.23","VascInv-YES","VascInv-NO",44,34,Inf,2.43466490713408,43,0.0191300974074164,0.010100534171516,0.10756942669212,0.0588349804318182,0,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"14","10q21.2","VascInv-YES","VascInv-NO",44,34,5.13849280519636,2.39544127263308,58.4424947724422,0.0198236357148075,0.0177535878955492,0.198097511125841,0.134004016863636,0.0260784673529412,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"15","10q11.22","VascInv-YES","VascInv-NO",44,34,3.47473170322101,2.35358456848361,71.5286775237564,0.0213449572714444,0.0146758183828116,0.1772725551466,0.13475584,0.0387816532352941,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"16","12q21.33","VascInv-YES","VascInv-NO",44,34,10.4610068985958,2.37412707969381,48.6870272185378,0.0215791338439007,0.0110365120834181,0.132842022470058,0.0795430316590909,0.00760376438235294,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"17","10q22.2","VascInv-YES","VascInv-NO",44,34,3.45478566621159,2.345621535432,69.8893464630943,0.0218386404482309,0.0129678132588477,0.160288113676981,0.121917383909091,0.0352894204411765,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"18","12q14.2","VascInv-YES","VascInv-NO",44,34,Inf,2.3684186167906,43,0.0224288453744411,0.00982500803888221,0.122492218006572,0.0661586130227273,0,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"19","10q23.1","VascInv-YES","VascInv-NO",44,34,3.92020631843313,2.33487580132722,63.0825415383065,0.0227455525142576,0.0182992690446678,0.235582151610412,0.170410484886364,0.0434697745588235,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"20","12q21.31","VascInv-YES","VascInv-NO",44,34,9.10087362919919,2.34764684612503,50.6911472835064,0.022835049771217,0.0089147201348405,0.114279548600454,0.06920089875,0.00760376438235294,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"21","10q26.11","VascInv-YES","VascInv-NO",44,34,3.55238942718417,2.31336645522624,67.7379825377057,0.023745365604222,0.0120143053118951,0.162920786960832,0.121736433636364,0.0342688875,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"22","12q13.2","VascInv-YES","VascInv-NO",44,34,11.9375047566976,2.33478736752623,47.0641570475555,0.0238711257511462,0.011596809144218,0.155995088465408,0.0914572893636364,0.00766134055882353,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"23","12q21.32","VascInv-YES","VascInv-NO",44,34,8.34131919482596,2.32071550600649,52.2391030488371,0.0242398510181901,0.00755975430993668,0.104083568516267,0.0634254257954546,0.00760376438235294,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"24","10q24.31","VascInv-YES","VascInv-NO",44,34,3.53561963763528,2.30420918966114,68.3107431005206,0.0242579145343524,0.0111726240568037,0.155507071881699,0.116207493704545,0.0328676457352941,0,"two.sided","Welch Two Sample t-test",0.620638576494078
"25","10q24.32","VascInv-YES","VascInv-NO",44,34,3.53561963763528,2.30420918966114,68.3107431005206,0.0242579145343524,0.0111726240568037,0.155507071881699,0.116207493704545,0.0328676457352941,0,"two.sided","Welch Two Sample t-test",0.620638576494078
